# n_snapshot   redshift
000  9.900000e+01
001  2.976923e+01
002  1.900000e+01
003  1.011111e+01
004  6.852564e+00
005  5.464380e+00
006  4.207226e+00
007  3.558140e+00
008  3.224138e+00
009  2.935743e+00
010  2.935743e+00
011  2.684211e+00
012  2.462898e+00
013  2.266667e+00
014  2.091483e+00
015  2.091483e+00
016  2.061696e+00
017  1.855811e+00
018  1.698981e+00
019  1.545455e+00
020  1.437811e+00
021  1.338902e+00
022  1.247706e+00
023  1.163355e+00
024  1.085106e+00
025  1.012320e+00
026  9.444444e-01
027  8.809981e-01
028  8.215613e-01
029  7.657658e-01
030  7.132867e-01
031  6.638370e-01
032  6.171617e-01
033  5.730337e-01
034  5.312500e-01
035  4.916286e-01
036  4.540059e-01
037  4.182344e-01
038  3.841808e-01
039  3.517241e-01
040  3.207547e-01
041  2.911726e-01
042  2.628866e-01
043  2.628866e-01
044  2.358134e-01
045  2.098765e-01
046  1.850060e-01
047  1.611374e-01
048  1.382114e-01
049  1.161731e-01
050  9.497207e-02
051  7.456140e-02
052  5.489774e-02
057  0.000000e+00
