#       k [h/Mpc]           P_cdm          P_vcdm         P_total
          0.0001     0.000262229     0.000262229     0.000262229
     0.000106333     0.000278256     0.000278256     0.000278256
     0.000113066     0.000295261     0.000295261     0.000295261
     0.000120226     0.000313304     0.000313304     0.000313304
      0.00012784     0.000332448     0.000332448     0.000332448
     0.000135936     0.000352761     0.000352761     0.000352761
     0.000144544     0.000374313     0.000374313     0.000374313
     0.000153697     0.000397179     0.000397179     0.000397179
     0.000163431      0.00042144      0.00042144      0.00042144
      0.00017378     0.000447179     0.000447179     0.000447179
     0.000184785     0.000474487     0.000474487     0.000474487
     0.000196487     0.000503458     0.000503458     0.000503458
      0.00020893     0.000534192     0.000534192     0.000534192
      0.00022216     0.000566796     0.000566796     0.000566796
     0.000236229     0.000601382     0.000601382     0.000601382
     0.000251189      0.00063807      0.00063807      0.00063807
     0.000267096     0.000676985     0.000676985     0.000676985
      0.00028401      0.00071826      0.00071826      0.00071826
     0.000301995     0.000762037     0.000762037     0.000762037
     0.000321119     0.000808463     0.000808463     0.000808463
     0.000341455     0.000857696     0.000857696     0.000857696
     0.000363078     0.000909901     0.000909901     0.000909901
     0.000386071     0.000965253     0.000965253     0.000965253
     0.000410519      0.00102394      0.00102394      0.00102394
     0.000436516      0.00108614      0.00108614      0.00108614
     0.000464159      0.00115208      0.00115208      0.00115208
     0.000493552      0.00122195      0.00122195      0.00122195
     0.000524807        0.001296        0.001296        0.001296
     0.000558042      0.00137444      0.00137444      0.00137444
     0.000593381      0.00145754      0.00145754      0.00145754
     0.000630957      0.00154554      0.00154554      0.00154554
     0.000670914      0.00163871      0.00163871      0.00163871
       0.0007134      0.00173734      0.00173734      0.00173734
     0.000758578      0.00184171      0.00184171      0.00184171
     0.000806616      0.00195212      0.00195212      0.00195212
     0.000857696       0.0020689       0.0020689       0.0020689
     0.000912011      0.00219234      0.00219234      0.00219234
     0.000969765      0.00232279      0.00232279      0.00232279
      0.00103118      0.00246059      0.00246059      0.00246059
      0.00109648      0.00260606      0.00260606      0.00260606
      0.00116591      0.00275956      0.00275956      0.00275956
      0.00123975      0.00292145      0.00292145      0.00292145
      0.00131826      0.00309206      0.00309206      0.00309206
      0.00140174      0.00327174      0.00327174      0.00327174
       0.0014905      0.00346083      0.00346083      0.00346083
      0.00158489      0.00365968      0.00365968      0.00365968
      0.00168526      0.00386858      0.00386858      0.00386858
      0.00179198      0.00408785      0.00408785      0.00408785
      0.00190546      0.00431776      0.00431776      0.00431776
      0.00202613      0.00455856      0.00455856      0.00455856
      0.00215443      0.00481046      0.00481046      0.00481046
      0.00229087      0.00507364      0.00507364      0.00507364
      0.00243594      0.00534823      0.00534823      0.00534823
       0.0025902      0.00563428      0.00563428      0.00563428
      0.00275423      0.00593181      0.00593181      0.00593181
      0.00292864      0.00624076      0.00624076      0.00624076
      0.00311411      0.00656097      0.00656097      0.00656097
      0.00331131      0.00689222      0.00689222      0.00689222
